id,name_full,type
ilmorai,Moraine Valley Community College,college
illomba,Lombard College,college
illogan,John A Logan College,college
illinoisst,Illinois State University,college
illinois,University of Illinois at Urbana-Champaign,college
illinco,Lincoln College,college
illewis,Lewis & Clark Community College,college
illchicago,University of Illinois at Chicago,college
illakel,Lake Land College,college
ilkishw,Kishwaukee College,college
ilkenne,Kennedy-King College,college
ilkaska,Kaskaskia College,college
ilkanka,Kankakee Community College,college
ilharpe,William Rainey Harper College,college
ildixon,Dixon College,college
ilcollege,Illinois College,college
ilcenjc,Illinois Central College,college
ilaugus,Augustana College,college
idnidjc,North Idaho College,college
idcosid,College of Southern Idaho,college
idbyuid,Brigham Young University-Idaho,college
idaho,University of Idaho,college
iawesleyan,Iowa Wesleyan College,college
iawescc,Iowa Western Community College,college
iasimps,Simpson College,college
iaseccs,"Southeastern Iowa Community College, Keokuk Campus",college
iaparso,Parsons College,college
iakirkw,Kirkwood Community College,college
iaindia,Indian Hills Community College,college
iahighl,Highland Park College,college
iaellsw,Ellsworth College,college
iadmacc,Des Moines Area Community College,college
iadesmo,Des Moines University,college
huntercuny,"Hunter College, The City University of New York",college
humboldtst,Humboldt State University,college
howrdpayne,Howard Payne University,college
howard,Howard University,college
houston,University of Houston,college
houstnbapt,Houston Baptist University,college
hopemi,Hope College,college
holycross,College of the Holy Cross,college
hofstra,Hofstra University,college
hobartny,Hobart and William Smith Colleges,college
hiramoh,Hiram College,college
hillsdale,Hillsdale College,college
highpoint,High Point University,college
hendrsonst,Henderson State University,college
hendrixar,Hendrix College,college
hawaiipac,Hawaii Pacific University,college
hawaiihilo,University of Hawaii at Hilo,college
hawaii,University of Hawaii at Manoa,college
haskellks,Haskell Indian Nations University,college
harvard,Harvard University,college
hartwickny,Hartwick College,college
hartford,University of Hartford,college
hardinsimm,Hardin-Simmons University,college
harding,Harding University,college
hampsydney,Hampden-Sydney College,college
hamlinemn,Hamline University,college
guilfordnc,Guilford College,college
grvalleyst,Grand Valley State University,college
grovecity,Grove City College,college
grossmont,Grossmont College,college
grinnellia,Grinnell College,college
grcanyon,Grand Canyon University,college
grambling,Grambling State University,college
gonzaga,Gonzaga University,college
glenvilst,Glenville State College,college
gettysburg,Gettysburg College,college
georgiasou,Georgia Southern University,college
georgia,University of Georgia,college
georgewash,George Washington University,college
georgetown,Georgetown University,college
georgemas,George Mason University,college
georgefox,George Fox University,college
genevapa,Geneva College,college
gatech,Georgia Institute of Technology,college
gannon,Gannon University,college
gamiddl,Middle Georgia College,college
gagpjco,Georgia Perimeter College,college
gacoast,Coastal Georgia Community College,college
furman,Furman University,college
fresnost,California State University Fresno,college
freedhrdmn,Freed-Hardeman University,college
frankmarsh,Franklin and Marshall College,college
franklinin,Franklin College,college
fordham,Fordham University,college
flvalen,Valencia Community College,college
fltech,Florida Institute of Technology,college
fltalla,Tallahassee Community College,college
flstpet,St. Petersburg College,college
flsouthern,Florida Southern College,college
flsjrcc,St. Johns River Community College,college
flsanta,Santa Fe Community College,college
flpolkc,Polk Community College,college
flpensa,Pensacola Junior College,college
flpbaun,Palm Beach Atlantic University,college
flpasco,Pasco-Hernando Community College,college
flpalme,Palmer College,college
floridast,Florida State University,college
floridaam,Florida Agricultural and Mechanical University,college
florida,University of Florida,college
flnwfsc,Northwest Florida State College,college
flnovas,Nova Southeastern University,college
flnfcco,North Florida Community College,college
flmdwjc,"Miami-Dade College, Wolfson Campus",college
flmdnjc,"Miami-Dade College, North Campus",college
flmdkjc,"Miami-Dade College, Kendall Campus",college
flmanat,"State College of Florida, Manatee-Sarasota",college
flinternat,Florida International University,college
flindia,Indian River Community College,college
flhills,Hillsborough Community College,college
flgulfc,Florida Gulf Coast University,college
flgccco,Gulf Coast Community College,college
flgateway,Florida Gateway College,college
flflajc,Florida College,college
flediso,Edison College,college
fldayto,Daytona Beach Community College,college
flchipo,Chipola College,college
flcentr,Central Florida Community College,college
flbrowa,Broward Community College,college
flbreva,Brevard Community College,college
flbarry,Barry University,college
flatlantic,Florida Atlantic University,college
flagler,Flagler College,college
ferrumva,Ferrum College,college
ferrisst,Ferris State University,college
fayetvilst,Fayetteville State University,college
fairldick,"Fairleigh Dickinson University, Metropolitan Campus",college
fairfield,Fairfield University,college
evansville,University of Evansville,college
eutah,College of Eastern Utah,college
etennst,East Tennessee State University,college
estroud,East Stroudsburg University of Pennsylvania,college
erskine,Erskine College,college
emporiast,Emporia State University,college
emoryhenry,Emory and Henry College,college
emichigan,Eastern Michigan University,college
elon,Elon University,college
elizbthtwn,Elizabethtown College,college
ekentucky,Eastern Kentucky University,college
eillinois,Eastern Illinois University,college
edinboro,Edinboro University of Pennsylvania,college
econnst,Eastern Connecticut State University,college
eckerd,Eckerd College,college
ecentralok,East Central University,college
ecarolina,East Carolina University,college
duquesne,Duquesne University,college
duke,Duke University,college
dubuque,University of Dubuque,college
drake,Drake University,college
dominican,Dominican College,college
dickinson,Dickinson College,college
detroit,University of Detroit Mercy,college
denver,University of Denver,college
denisonoh,Denison University,college
deltast,Delta State University,college
delawarest,Delaware State University,college
delaware,University of Delaware,college
dedelaw,Delaware Technical and Community College,college
debrand,Brandywine Junior College,college
dayton,University of Dayton,college
daviselkins,Davis and Elkins College,college
davidson,Davidson College,college
dartmouth,Dartmouth College,college
