id,id_out,year,count
illinois,CHC,1906,4
illinois,MIN,1906,3
illinois,STL,1906,2
illinoisst,NYY,1906,2
iowast,STL,1906,2
kansas,MIN,1906,2
knoxil,CIN,1906,2
ksstmaC,CHC,1906,1
lockhaven,STL,1906,1
manhattan,MIN,1906,1
manhattan,STL,1906,4
maryland,OAK,1906,1
michigan,SFG,1906,1
michiganst,CHW,1906,2
niagara,CIN,1906,1
niagara,STL,1906,1
notredame,BOS,1906,3
notredame,CHC,1906,2
ohwesleyan,BAL,1906,1
pacarli,CIN,1906,1
pacarli,NYY,1906,2
pacarli,OAK,1906,2
pacarli,PHI,1906,2
pavolan,OAK,1906,2
pennst,PIT,1906,2
princeton,PIT,1906,3
rollins,CIN,1906,2
rollins,OAK,1906,1
santaclara,BOS,1906,1
santaclara,NYY,1906,1
sliprock,SFG,1906,1
sliprock,STL,1906,1
stbonny,SFG,1906,1
stedwardtx,NYY,1906,1
trnsylvnia,NYY,1906,2
upenn,PHI,1906,1
villanova,BOS,1906,1
villanova,DET,1906,2
washcollmd,CIN,1906,1
washcollmd,CLE,1906,2
washcollmd,STL,1906,1
washjeffpa,CHC,1906,1
washjeffpa,LAD,1906,1
wisacre,CLE,1906,2
wisacre,STL,1906,1
wvirginia,CHC,1906,1
wvirginia,MIN,1906,1
amherstma,PIT,1907,1
batesme,BOS,1907,1
beloitwi,ATL,1907,1
blackbrnil,STL,1907,1
bloomsburg,LAD,1907,1
bostoncoll,CHW,1907,1
brown,ATL,1907,1
brown,NYY,1907,2
brown,PIT,1907,2
brown,SFG,1907,2
bucknell,NYY,1907,1
bucknell,PHI,1907,1
bucknell,SFG,1907,2
california,CHC,1907,2
centreky,PIT,1907,2
cincy,CIN,1907,1
colbyme,OAK,1907,2
columbia,OAK,1907,1
cornell,LAD,1907,1
dartmouth,BOS,1907,2
delaware,PIT,1907,2
estroud,CIN,1907,1
fordham,CIN,1907,1
fordham,LAD,1907,4
gatech,LAD,1907,2
genevapa,ATL,1907,2
georgetown,CHW,1907,2
